"","b","p","call"
"1",-0.137022641060613,9.67912185022845e-05,"rma.mv(yi = tempData$fisherZDiff, V = tempData$seDifference.ro^2, random = ~1 | source/authorsTitle.o/id, data = tempData)"
"2",-0.137015714016847,9.67454607090247e-05,"rma.mv(yi = tempData$fisherZDiff, V = tempData$seDifference.ro^2, random = ~1 | source/authorsTitle.o/id, data = tempData)"
"3",-0.136729972268025,9.73861694365494e-05,"rma.mv(yi = tempData$fisherZDiff, V = tempData$seDifference.ro^2, random = ~1 | source/authorsTitle.o/id, data = tempData)"
"4",-0.137193915330937,9.59529884633087e-05,"rma.mv(yi = tempData$fisherZDiff, V = tempData$seDifference.ro^2, random = ~1 | source/authorsTitle.o/id, data = tempData)"
"5",-0.137065063034189,9.65607381552893e-05,"rma.mv(yi = tempData$fisherZDiff, V = tempData$seDifference.ro^2, random = ~1 | source/authorsTitle.o/id, data = tempData)"
"6",-0.137224396528081,9.65622507484369e-05,"rma.mv(yi = tempData$fisherZDiff, V = tempData$seDifference.ro^2, random = ~1 | source/authorsTitle.o/id, data = tempData)"
"7",-0.136673610171522,9.75995357733991e-05,"rma.mv(yi = tempData$fisherZDiff, V = tempData$seDifference.ro^2, random = ~1 | source/authorsTitle.o/id, data = tempData)"
"8",-0.136502136251151,9.82081973800513e-05,"rma.mv(yi = tempData$fisherZDiff, V = tempData$seDifference.ro^2, random = ~1 | source/authorsTitle.o/id, data = tempData)"
"9",-0.137691748718574,9.7678746092216e-05,"rma.mv(yi = tempData$fisherZDiff, V = tempData$seDifference.ro^2, random = ~1 | source/authorsTitle.o/id, data = tempData)"
"10",-0.137184104443538,9.65862685039618e-05,"rma.mv(yi = tempData$fisherZDiff, V = tempData$seDifference.ro^2, random = ~1 | source/authorsTitle.o/id, data = tempData)"
"11",-0.137572904063084,9.65549283763544e-05,"rma.mv(yi = tempData$fisherZDiff, V = tempData$seDifference.ro^2, random = ~1 | source/authorsTitle.o/id, data = tempData)"
"12",-0.137671497309155,9.72103386601596e-05,"rma.mv(yi = tempData$fisherZDiff, V = tempData$seDifference.ro^2, random = ~1 | source/authorsTitle.o/id, data = tempData)"
"13",-0.137903038322827,9.84308404923865e-05,"rma.mv(yi = tempData$fisherZDiff, V = tempData$seDifference.ro^2, random = ~1 | source/authorsTitle.o/id, data = tempData)"
"14",-0.137926966749855,9.89662519644322e-05,"rma.mv(yi = tempData$fisherZDiff, V = tempData$seDifference.ro^2, random = ~1 | source/authorsTitle.o/id, data = tempData)"
"15",-0.137288071912256,9.66154741077266e-05,"rma.mv(yi = tempData$fisherZDiff, V = tempData$seDifference.ro^2, random = ~1 | source/authorsTitle.o/id, data = tempData)"
"16",-0.137290522030755,9.61634934197404e-05,"rma.mv(yi = tempData$fisherZDiff, V = tempData$seDifference.ro^2, random = ~1 | source/authorsTitle.o/id, data = tempData)"
"17",-0.1374040748083,9.62947934814948e-05,"rma.mv(yi = tempData$fisherZDiff, V = tempData$seDifference.ro^2, random = ~1 | source/authorsTitle.o/id, data = tempData)"
"18",-0.13752521957408,9.66339053223646e-05,"rma.mv(yi = tempData$fisherZDiff, V = tempData$seDifference.ro^2, random = ~1 | source/authorsTitle.o/id, data = tempData)"
